Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
P14835	reviewed	PSBH_SYNY3	Photosystem II reaction center protein H (PSII-H) (6 kDa phosphoprotein)	psbH ssl2598	Synechocystis sp. (strain PCC 6803 / Kazusa)	64	GO:0015979; GO:0030096; GO:0031676; GO:0042301; GO:0050821	plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; phosphate ion binding [GO:0042301]; photosynthesis [GO:0015979]; protein stabilization [GO:0050821]
P32422	reviewed	PSAC_SYNY3	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	psaC ssl0563	Synechocystis sp. (strain PCC 6803 / Kazusa)	81	GO:0009055; GO:0009522; GO:0009773; GO:0031676; GO:0046872; GO:0051539	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem I [GO:0009773]
P74102	reviewed	OCP_SYNY3	Orange carotenoid-binding protein (OCP) [Cleaved into: Red carotenoid-binding protein (RCP)]	slr1963	Synechocystis sp. (strain PCC 6803 / Kazusa)	317	GO:0009881; GO:0016037; GO:0030089; GO:0031404; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; chloride ion binding [GO:0031404]; photoreceptor activity [GO:0009881]; light absorption [GO:0016037]
P74132	reviewed	HEMN_SYNY3	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN sll1876	Synechocystis sp. (strain PCC 6803 / Kazusa)	466	GO:0004109; GO:0005737; GO:0006779; GO:0006782; GO:0015995; GO:0046872; GO:0051539; GO:0051989	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen dehydrogenase activity [GO:0051989]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; chlorophyll biosynthetic process [GO:0015995]; porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]
P74646	reviewed	KAIC1_SYNY3	Circadian clock oscillator protein KaiC 1 (EC 2.7.11.1) (EC 3.6.4.-)	kaiC1 slr0758	Synechocystis sp. (strain PCC 6803 / Kazusa)	519	GO:0000287; GO:0003677; GO:0004674; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0016301; GO:0016887; GO:0042752; GO:0046777; GO:0106310	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; circadian rhythm [GO:0007623]; protein autophosphorylation [GO:0046777]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]
Q55700	reviewed	FTSH2_SYNY3	ATP-dependent zinc metalloprotease FtsH 2 (EC 3.4.24.-)	ftsH2 slr0228	Synechocystis sp. (strain PCC 6803 / Kazusa)	627	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0008270; GO:0010206; GO:0016887; GO:0030163; GO:0042651	thylakoid membrane [GO:0042651]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; photosystem II repair [GO:0010206]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
P73722	reviewed	LEXA_SYNY3	Transcription regulator LexA (LexA-related repressor)	lexA sll1626	Synechocystis sp. (strain PCC 6803 / Kazusa)	203	GO:0004252; GO:0005737; GO:0006260; GO:0006508; GO:0009432; GO:0032993; GO:0043565; GO:0045892; GO:0045893	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; proteolysis [GO:0006508]; SOS response [GO:0009432]
P74503	reviewed	KAIC3_SYNY3	Circadian clock protein KaiC3 (EC 2.7.11.1) (EC 3.6.4.-)	kaiC3 slr1942	Synechocystis sp. (strain PCC 6803 / Kazusa)	505	GO:0000287; GO:0003677; GO:0004674; GO:0005524; GO:0006355; GO:0016310; GO:0016787; GO:0042752	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; phosphorylation [GO:0016310]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]
P74721	reviewed	ADHA_SYNY3	Aldehyde reductase AdhA (EC 1.1.1.2) (Alcohol dehydrogenase AdhA)	adhA slr1192	Synechocystis sp. (strain PCC 6803 / Kazusa)	336	GO:0005737; GO:0008106; GO:0008270; GO:0016616	cytoplasm [GO:0005737]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]
Q55804	reviewed	CRHR_SYNY3	RNA helicase CrhR (EC 3.6.4.13)	crhR deaD slr0083	Synechocystis sp. (strain PCC 6803 / Kazusa)	492	GO:0003724; GO:0005524; GO:0005829; GO:0009409; GO:0016887; GO:0031676; GO:0032574; GO:0033592; GO:0034057; GO:0034458	cytosol [GO:0005829]; plasma membrane-derived thylakoid membrane [GO:0031676]; 3'-5' RNA helicase activity [GO:0034458]; 5'-3' RNA helicase activity [GO:0032574]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]; response to cold [GO:0009409]
